"Qty";"Value";"Device";"Package";"Parts";"Description";"ARTICLE_NUMBER_SCHLEICHER";"CURRENT";"DCR";"IMPEDANCE";"INDUCTANCE";"MF";"MOUNTING";"MPN";"OC_FARNELL";"OC_NEWARK";"REVERSE_VOLTAGE";"TOLERANCE";"TP_SIGNAL_NAME";"VALUE";"VALUE2";"VOLTAGE";
"1";"Header 2.54mm";"PINHD-1X5";"1X05";"JP3";"PIN HEADER";"";"";"";"";"";"";"n.f.";"";"";"";"";"";"";"";"";"";
"1";"INVERTED_F_ANTENNA";"INVERTED_F_ANTENNA";"DN0007+0_MIRROR";"U$2";"2.4GHz Inverted F Antenna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"M45PE80/M45PE16";"M45PE";"VQFN8_6X5";"IC6";"";"";"";"";"";"";"";"n.f.";"";"";"";"";"";"";"";"";"";
"1";"MBR1020VL";"DIODE_SOD-123FL";"SOD-123FL";"D3";"Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MCP6001";"OPAMP_SINGLESOT23-5";"SOT23-5";"IC5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MH2029-800Y";"MH2029-800Y";"FERRIT_0805";"L2";"Ferrit 80R 0805 Bourns";"RT.024.2301.0";"3A";"40R";"80R";"";"";"";"";"";"";"";"+-25%";"";"";"";"";
"1";"MICROSMDCH050F-02";"R-EU_R1210";"R1210";"F1";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MKL26Z128VFM4";"MKL26Z";"QFN_32_5X5X0P9";"IC4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"NRF51822";"NRF51822";"QFN48";"IC1";"Bluetooth 4.0 Low Energy/2.4Ghz";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NRF51822-QFAA-R7";"";
"1";"PKMCS0909E4000-R1";"PKMCS0909E4000-R1";"PKMCS";"SPK1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"PRTR5V0U2F";"PRTR5V0U2F";"SOT886";"D1";"Ultra low capacitance double rail-to-rail ESD protection";"";"";"";"";"";"";"";"";"";"";"5.5V";"";"";"";"";"";
"13";"PTR1B1,27";"PTR1B1,27";"B1,27";"TP1, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP13, TP14, TP15, TP16";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"PTS645S blue";"PTS645S";"PTS645S";"TAST_A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" PTS645SM43SMTR92 LFS";"";
"1";"PTS645S red";"PTS645S";"PTS645S";"TAST_B";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" PTS645SK43SMTR92 LFS";"";
"1";"PTS810SJ";"PTS810SJ";"PTS810";"TAST_RESET";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PTS810 SJK 250 SMTR LFS";"";
"1";"S2B-PH-SM4-TB(LF)(SN)";"JST_2PIN-SMT-RA";"JST-PH-2-SMT-RA";"BAT";"JST 2-Pin Connectors of various flavors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SK6812MINI";"WS2812B3535";"LED3535";"LED1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"gelb";"LEDCHIPLED_0603";"CHIPLED_0603";"LED2";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LTST-C191KSKT";"";
"25";"rot";"LEDCHIPLED_0603";"CHIPLED_0603";"LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LTST-C190KRKT";"";
